Name,NACA 4412
Chord(mm),25
Radius(mm),0
Thickness(%),100
Origin(%),20
Pitch(deg),75.9
,
Airfoil surface,
X(mm),Y(mm)
4.903821,-19.389523
4.924209,-18.095572
4.920351,-16.807711
4.839894,-14.250261
4.667299,-11.715954
4.409840,-9.202964
4.055394,-6.714335
3.594261,-4.252503
2.975525,-1.830259
2.586143,-0.639236
2.133718,0.535953
1.608554,1.692871
0.988827,2.826036
0.635319,3.381656
0.233317,3.925095
-0.243849,4.449654
-0.550323,4.694880
-1.218075,4.849360
-1.488675,4.459183
-1.538628,4.124428
-1.517302,3.485370
-1.425659,2.863974
-1.302496,2.250495
-1.002827,1.036937
-0.664362,-0.166876
-0.301651,-1.364599
0.061060,-2.562323
0.781633,-4.958987
1.487657,-7.359305
2.193682,-9.759624
2.887583,-12.162988
3.559663,-14.571833
4.209920,-16.986159
4.528987,-18.194845
4.840779,-19.405358
,
Camber line,
X(mm),Y(mm)
-1.218075,4.849360
-1.019499,4.577031
-0.891239,4.287041
-0.641992,3.705232
-0.395170,3.122815
-0.156835,2.538266
0.302864,1.364904
0.734678,0.184538
1.142246,-1.001918
1.518293,-2.196291
2.187947,-4.605745
2.771525,-7.036820
3.301761,-9.481294
3.777441,-11.939471
4.199778,-14.411047
4.565135,-16.896935
4.726598,-18.145208
4.872300,-19.397440
,
Chord line,
X(mm),Y(mm)
-1.218075,4.849360
4.872300,-19.397440
